 Index, GRIB1_value, GRIB1_version, GRIB2_discipline, GRIB2_category, GRIB2_parameter
   1,     1,     2,     0,     3,     0, PRES    
   2,     2,     2,     0,     3,     1, PRMSL   
   3,     3,     2,     0,     3,     2, PTEND   
   4,     4,     2,     0,     2,    14, PVORT   
   5,     5,     2,     0,     3,     3, ICAHT   
   6,     6,     2,     0,     3,     4, GP      
   7,     7,     2,     0,     3,     5, HGT     
   8,     8,     2,     0,     3,     6, DIST    
   9,     9,     2,     0,     3,     7, HSTDV   
  10,    10,     2,     0,    14,     0, TOZNE   
  11,    11,     2,     0,     0,     0, TMP     
  12,    12,     2,     0,     0,     1, VTMP    
  13,    13,     2,     0,     0,     2, POT     
  14,    14,     2,     0,     0,     3, EPOT    
  15,    15,     2,     0,     0,     4, TMAX    
  16,    16,     2,     0,     0,     5, TMIN    
  17,    17,     2,     0,     0,     6, DPT     
  18,    18,     2,     0,     0,     7, DEPR    
  19,    19,     2,     0,     0,     8, LAPR    
  20,    20,     2,     0,    19,     0, VIS     
  21,    21,     2,     0,    15,     6, RDSP1   
  22,    22,     2,     0,    15,     7, RDSP2   
  23,    23,     2,     0,    15,     8, RDSP3   
  24,    24,     2,     0,     7,     0, PLI     
  25,    25,     2,     0,     0,     9, TMPA    
  26,    26,     2,     0,     3,     8, PRESA   
  27,    27,     2,     0,     3,     9, GPA     
  28,    28,     2,    10,     0,     0, WVSP1   
  29,    29,     2,    10,     0,     1, WVSP2   
  30,    30,     2,    10,     0,     2, WVSP3   
  31,    31,     2,     0,     2,     0, WDIR    
  32,    32,     2,     0,     2,     1, WIND    
  33,    33,     2,     0,     2,     2, UGRD    
  34,    34,     2,     0,     2,     3, VGRD    
  35,    35,     2,     0,     2,     4, STRM    
  36,    36,     2,     0,     2,     5, VPOT    
  37,    37,     2,     0,     2,     6, MNTSF   
  38,    38,     2,     0,     2,     7, SGCVV   
  39,    39,     2,     0,     2,     8, VVEL    
  40,    40,     2,     0,     2,     9, DZDT    
  41,    41,     2,     0,     2,    10, ABSV    
  42,    42,     2,     0,     2,    11, ABSD    
  43,    43,     2,     0,     2,    12, RELV    
  44,    44,     2,     0,     2,    13, RELD    
  45,    45,     2,     0,     2,    15, VUCSH   
  46,    46,     2,     0,     2,    16, VVCSH   
  47,    47,     2,    10,     1,     0, DIRC    
  48,    48,     2,    10,     1,     1, SPC     
  49,    49,     2,    10,     1,     2, UOGRD   
  50,    50,     2,    10,     1,     3, VOGRD   
  51,    51,     2,     0,     1,     0, SPFH    
  52,    52,     2,     0,     1,     1, RH      
  53,    53,     2,     0,     1,     2, MIXR    
  54,    54,     2,     0,     1,     3, PWAT    
  55,    55,     2,     0,     1,     4, VAPP    
  56,    56,     2,     0,     1,     5, SATD    
  57,    57,     2,     0,     1,     6, EVP     
  58,    58,     2,     0,     6,     0, CICE    
  59,    59,     2,     0,     1,     7, PRATE   
  60,    60,     2,     0,    19,     2, TSTM    
  61,    61,     2,     0,     1,     8, APCP    
  62,    62,     2,     0,     1,     9, NCPCP   
  63,    63,     2,     0,     1,    10, ACPCP   
  64,    64,     2,     0,     1,    12, SRWEQ   
  65,    65,     2,     0,     1,    13, WEASD   
  66,    66,     2,     0,     1,    11, SNOD    
  67,    67,     2,     0,    19,     3, MIXHT   
  68,    68,     2,    10,     4,     2, TTHDP   
  69,    69,     2,    10,     4,     0, MTHD    
  70,    70,     2,    10,     4,     1, MTHA    
  71,    71,     2,     0,     6,     1, TCDC    
  72,    72,     2,     0,     6,     2, CDCON   
  73,    73,     2,     0,     6,     3, LCDC    
  74,    74,     2,     0,     6,     4, MCDC    
  75,    75,     2,     0,     6,     5, HCDC    
  76,    76,     2,     0,     6,     6, CWAT    
  77,    77,     2,     0,     7,     1, BLI     
  78,    78,     2,     0,     1,    14, SNOC    
  79,    79,     2,     0,     1,    15, SNOL    
  80,    80,     2,    10,     3,     0, WTMP    
  81,    81,     2,     2,     0,     0, LAND    
  82,    82,     2,    10,     3,     1, DSLM    
  83,    83,     2,     2,     0,     1, SFCR    
  84,    84,     2,     0,    19,     1, ALBDO   
  85,    85,     2,     2,     0,     2, TSOIL   
  86,    86,     2,     2,     0,     3, SOILM   
  87,    87,     2,     2,     0,     4, VEG     
  88,    88,     2,    10,     4,     3, SALTY   
  89,    89,     2,     0,     3,    10, DEN     
  90,    90,     2,     2,     0,     5, WATR    
  91,    91,     2,    10,     2,     0, ICEC    
  92,    92,     2,    10,     2,     1, ICETK   
  93,    93,     2,    10,     2,     2, DICED   
  94,    94,     2,    10,     2,     3, SICED   
  95,    95,     2,    10,     2,     4, UICE    
  96,    96,     2,    10,     2,     5, VICE    
  97,    97,     2,    10,     2,     6, ICEG    
  98,    98,     2,    10,     2,     7, ICED    
  99,    99,     2,     0,     1,    16, SNOM    
 100,   100,     2,    10,     0,     3, HTSGW   
 101,   101,     2,    10,     0,     4, WVDIR   
 102,   102,     2,    10,     0,     5, WVHGT   
 103,   103,     2,    10,     0,     6, WVPER   
 104,   104,     2,    10,     0,     7, SWDIR   
 105,   105,     2,    10,     0,     8, SWELL   
 106,   106,     2,    10,     0,     9, SWPER   
 107,   107,     2,    10,     0,    10, DIRPW   
 108,   108,     2,    10,     0,    11, PERPW   
 109,   109,     2,    10,     0,    12, DIRSW   
 110,   110,     2,    10,     0,    13, PERSW   
 111,   111,     2,     0,     4,     0, NSWRS   
 112,   112,     2,     0,     5,     0, NLWRS   
 113,   113,     2,     0,     4,     1, NSWRT   
 114,   114,     2,     0,     5,     1, NLWRT   
 115,   115,     2,     0,     5,     2, LWAVR   
 116,   116,     2,     0,     4,     2, SWAVR   
 117,   117,     2,     0,     4,     3, GRAD    
 118,   118,     2,     0,     4,     4, BRTMP   
 119,   119,     2,     0,     4,     5, LWRAD   
 120,   120,     2,     0,     4,     6, SWRAD   
 121,   121,     2,     0,     0,    10, LHTFL   
 122,   122,     2,     0,     0,    11, SHTFL   
 123,   123,     2,     0,     2,    20, BLYDP   
 124,   124,     2,     0,     2,    17, UFLX    
 125,   125,     2,     0,     2,    18, VFLX    
 126,   126,     2,     0,     2,    19, WMIXE   
 127,   127,     2,   255,   255,   255, IMGD    
 128,   229,     2,     0,     0,   192, SNOHF   
 129,   153,     2,     0,     1,    22, CLWMR   
 130,   140,     2,     0,     1,   192, CRAIN   
 131,   141,     2,     0,     1,   193, CFRZR   
 132,   142,     2,     0,     1,   194, CICEP   
 133,   143,     2,     0,     1,   195, CSNOW   
 134,   214,     2,     0,     1,   196, CPRAT   
 135,   135,     2,     0,     1,   197, MCONV   
 136,   194,     2,     1,     1,   193, CPOFP   
 137,   228,     2,     0,     1,   199, PEVAP   
 138,   136,     2,     0,     2,   192, VWSH    
 139,   172,     2,     0,     2,   193, MFLX    
 140,   196,     2,     0,     2,   194, USTM    
 141,   197,     2,     0,     2,   195, VSTM    
 142,   252,     2,     0,     2,   196, CD      
 143,   253,     2,     0,     2,   197, FRICV   
 144,   130,     2,     0,     3,   192, MSLET   
 145,   204,     2,     0,     4,   192, DSWRF   
 146,   211,     2,     0,     4,   193, USWRF   
 147,   205,     2,     0,     5,   192, DLWRF   
 148,   212,     2,     0,     5,   193, ULWRF   
 149,   213,     2,     0,     6,   192, CDLYR   
 150,   132,     2,     0,     7,   193, 4LFTX   
 151,   157,     2,     0,     7,     6, CAPE    
 152,   156,     2,     0,     7,     7, CIN     
 153,   190,     2,     0,     7,     8, HLCY    
 154,   131,     2,     0,     7,   192, LFTX    
 155,   158,     2,     0,    19,    11, TKE     
 156,   176,     2,     0,   191,   192, NLAT    
 157,   177,     2,     0,   191,   193, ELON    
 158,   234,     2,     1,     0,   192, BGRUN   
 159,   235,     2,     1,     0,   193, SSRUN   
 160,   144,     2,     2,     0,   192, SOILW   
 161,   155,     2,     2,     0,   193, GFLUX   
 162,   207,     2,     2,     0,   194, MSTAV   
 163,   208,     2,     2,     0,   195, SFEXC   
 164,   223,     2,     2,     0,   196, CNWAT   
 165,   226,     2,     2,     0,   197, BMIXL   
 166,   154,     2,     0,    14,   192, O3MR    
 167,   222,     2,     0,     3,   193, 5WAVH   
 168,   145,     2,     0,     1,   200, PEVPR   
 169,   146,     2,     0,     6,   193, CWORK   
 170,   147,     2,     0,     3,   194, U-GWD   
 171,   148,     2,     0,     3,   195, V-GWD   
 172,   221,     2,     0,     3,   196, HPBL    
 173,   230,     2,     0,     3,   197, 5WAVA   
 174,   160,   130,     2,     3,   192, SOILL   
 175,   171,   130,     2,     3,   193, RLYRS   
 176,   219,   130,     2,     0,   201, WILT    
 177,   222,   130,     2,     3,   194, SLTYP   
 178,   224,     2,     2,     3,     0, SOTYP   
 179,   225,     2,     2,     0,   198, VGTYP   
 180,   230,   130,     2,     3,   195, SMREF   
 181,   231,   130,     2,     3,   196, SMDRY   
 182,   238,     2,     0,     1,   201, SNOWC   
 183,   240,   130,     2,     3,   197, POROS   
 184,   131,   129,     0,     1,   202, FRAIN   
 185,   132,   129,     0,     6,   199, FICE    
 186,   133,   129,     0,     1,   203, RIME    
 187,   134,   129,     0,     6,   194, CUEFI   
 188,   135,   129,     0,     6,   195, TCOND   
 189,   136,   129,     0,     6,   196, TCOLW   
 190,   137,   129,     0,     6,   197, TCOLI   
 191,   138,   129,     0,     1,   204, TCOLR   
 192,   139,   129,     0,     1,   205, TCOLS   
 193,   140,   129,     0,     6,   198, TCOLC   
 194,   159,   130,     0,    19,   192, MXSALB  
 195,   170,   130,     0,    19,   193, SNFALB  
 196,   170,     2,     0,     1,    24, RWMR    
 197,   171,     2,     0,     1,    25, SNMR    
 198,   181,   130,     2,     0,   199, CCOND   
 199,   203,   130,     2,     0,   200, RSMIN   
 200,   246,   130,     2,     0,   202, RCS     
 201,   247,   130,     2,     0,   203, RCT     
 202,   248,   130,     2,     0,   204, RCQ     
 203,   249,   130,     2,     0,   205, RCSOL   
 204,   254,     2,     0,     7,   194, RI      
 205,   190,   129,     3,     1,   192, USCT    
 206,   191,   129,     3,     1,   193, VSCT    
 207,   171,   129,     0,   191,   194, TSEC    
 208,   180,   129,     0,    14,   193, OZCON   
 209,   181,   129,     0,    14,   194, OZCAT   
 210,   193,     2,     1,     1,     2, POP     
 211,   195,     2,     1,     1,   192, CPOZP   
 212,   180,     2,     0,     2,    22, GUST    
 213,    31,     0,     0,     2,     0, WDIR    
 214,    32,     0,     0,     2,     1, WIND    
 215,    33,     0,     0,     2,     2, UGRD    
 216,    34,     0,     0,     2,     3, VGRD    
 217,   100,     0,    10,     0,     3, HTSGW   
 218,   101,     0,    10,     0,     4, WVDIR   
 219,   103,     0,    10,     0,     6, WVPER   
 220,   107,     0,    10,     0,    10, DIRPW   
 221,   108,     0,    10,     0,    11, PERPW   
 222,   109,     0,    10,     0,    12, DIRSW   
 223,   110,     0,    10,     0,    13, PERSW   
 224,   156,   129,     0,    13,   192, PMTC    
 225,   157,   129,     0,    13,   193, PMTF    
 226,    11,     3,     0,     0,     0, TMP     
 227,   129,     2,     0,     3,   198, MSLMA   
 228,   163,   129,     0,    13,   194, LPMTF   
 229,   164,   129,     0,    13,   195, LIPMF   
 230,   178,     2,     0,     1,    23, ICMR    
 231,   179,     2,     0,     1,    32, GRMR    
 232,   186,     2,     0,     1,   206, TIPD    
 233,   187,     2,     0,    17,   192, LTNG    
 234,   188,     2,     2,     0,   206, RDRIP   
 235,   189,     2,     0,     0,    15, VPTMP   
 236,   198,     2,     0,     1,   207, NCIP    
 237,   239,     2,     0,     1,   208, SNOT    
 238,   128,     2,     0,     3,     1, MSLSA   
 239,   137,     2,     0,     3,   199, TSLSA   
 240,   141,   129,     0,     3,   200, PLPL    
 241,   200,   129,     0,     4,   194, DUVB    
 242,   201,   129,     0,     4,   195, CDUVB   
 243,   201,     2,     2,     0,   207, ICWAT   
 244,   209,     2,     0,    19,   204, MIXLY   
 245,   216,     2,     0,     0,   193, TTRAD   
 246,   211,   129,     0,    16,   195, REFD    
 247,   212,   129,     0,    16,   196, REFC    
 248,   161,     2,     0,     4,   196, CSDSF   
 249,   168,   129,     0,     1,   209, TCLSW   
 250,   169,   129,     0,     1,   210, TCOLM   
 251,   181,     2,     0,     3,   201, LPSX    
 252,   182,     2,     0,     3,   202, LPSY    
 253,   183,     2,     0,     3,   203, HGTX    
 254,   184,     2,     0,     3,   204, HGTY    
 255,   254,   128,     0,     0,   194, REV     
 256,    91,     1,    10,     2,     0, ICEC    
 257,    49,     0,    10,     1,     2, UOGRD   
 258,    50,     0,    10,     1,     3, VOGRD   
 259,    80,     0,    10,     3,     0, WTMP    
 260,    82,     0,    10,     3,     1, DSLM    
 261,    88,     0,    10,     4,     3, SALTY   
 262,    49,     1,    10,     1,     2, UOGRD   
 263,    50,     1,    10,     1,     3, VOGRD   
 264,    80,     1,    10,     3,     0, WTMP    
 265,    88,     1,    10,     4,     3, SALTY   
 266,    40,     1,     0,     2,     9, DZDT    
 267,    67,     1,     0,    19,     3, MIXHT   
 268,     2,     3,     0,     3,     1, PRMSL   
 269,     7,     3,     0,     3,     5, HGT     
 270,   130,   128,    10,     3,   194, ELEV    
 271,   217,   129,     0,     1,   198, MINRH   
 272,   218,   129,     0,     1,    27, MAXRH   
 273,   161,   130,     0,     1,    29, ASNOW   
 274,   165,   129,     0,    16,   192, REFZR   
 275,   166,   129,     0,    16,   193, REFZI   
 276,   167,   129,     0,    16,   194, REFZC   
 277,   192,   129,     0,     2,   198, LAUV    
 278,   193,   129,     0,     2,   199, LOUV    
 279,   188,   129,     0,     2,   200, LAVV    
 280,   189,   129,     0,     2,   201, LOVV    
 281,   207,   129,     0,     2,   202, LAPP    
 282,   208,   129,     0,     2,   203, LOPP    
 283,   198,   129,    10,     3,   195, SSHG    
 284,    33,     1,     0,     2,     2, UGRD    
 285,    34,     1,     0,     2,     3, VGRD    
 286,     2,     1,     0,     3,     1, PRMSL   
 287,     7,     1,     0,     3,     5, HGT     
 288,   186,   128,    10,     4,   192, WTMPC   
 289,   187,   128,    10,     4,   193, SALIN   
 290,   177,   128,    10,     3,   196, P2OMLT  
 291,   178,   128,    10,     1,   192, OMLU    
 292,   179,   128,    10,     1,   193, OMLV    
 293,   183,   128,    10,     1,   194, UBARO   
 294,   184,   128,    10,     1,   195, VBARO   
 295,   179,   129,     0,    19,   205, FLGHT   
 296,   185,   129,     0,    19,   206, CICEL   
 297,   186,   129,     0,    19,   207, CIVIS   
 298,   187,   129,     0,    19,   208, CIFLT   
 299,   177,   129,     0,    19,   209, LAVNI   
 300,   178,   129,     0,    19,   210, HAVNI   
 301,   189,   130,     0,    19,   211, SBSALB  
 302,   190,   130,     0,    19,   212, SWSALB  
 303,   191,   130,     0,    19,   213, NBSALB  
 304,   192,   130,     0,    19,   214, NWSALB  
 305,   149,   129,    10,     0,   192, WSTP    
 306,   188,   128,     0,     1,   211, EMNP    
 307,   192,   128,     0,     3,   205, LAYTH   
 308,   219,   129,     0,     6,    13, CEIL    
 309,   220,   129,     0,    19,    12, PBLREG  
 310,   179,   130,     2,     0,   228, ACOND   
 311,   198,   130,     0,     1,   212, SBSNO   
 312,   199,     2,     2,     3,   198, EVBS    
 313,   200,     2,     2,     0,   229, EVCW    
 314,   210,     2,     2,     0,   230, TRANS   
 315,   182,   129,     0,     2,   204, VEDH    
 320,   241,     2,     0,     0,   195, LRGHR   
 321,   242,     2,     0,     0,   196, CNVHR   
 322,   168,   140,     0,    19,    20, ICIP    
 323,   169,   140,     0,    19,    20, ICIP    
 324,   170,   140,     0,    19,    21, CTP     
 325,   171,   140,     0,    19,    21, CTP     
 326,   172,   140,     0,    19,    22, CAT     
 327,   173,   140,     0,    19,    22, CAT     
 328,   174,   140,     0,     6,    25, CBHE    
 329,   175,   140,   255,   255,   255, IMGD    
 330,   176,   140,   255,   255,   255, IMGD    
 331,   177,   140,   255,   255,   255, IMGD    
 332,   178,   140,   255,   255,   255, IMGD    
 333,   179,   140,     0,     3,     3, ICAHT   
 334,   180,   140,     0,     3,     3, ICAHT   
 335,   181,   140,   255,   255,   255, IMGD    
 336,   182,   140,   255,   255,   255, IMGD    
 337,    76,   129,     0,     6,     6, CWAT    
 338,   104,     0,    10,     0,     7, SWDIR   
 339,   105,     0,    10,     0,     8, SWELL   
 340,   106,     0,    10,     0,     9, SWPER   
 341,   102,     0,    10,     0,     5, WVHGT   
 342,   213,   129,     3,   192,     0, SBT122  
 343,   214,   129,     3,   192,     1, SBT123  
 344,   215,   129,     3,   192,     2, SBT124  
 345,   216,   129,     3,   192,     3, SBT126  
 346,   221,   129,     3,   192,     4, SBC123  
 347,   222,   129,     3,   192,     5, SBC124  
 348,   228,   129,    10,     3,   192, SURGE   
 349,   229,   129,    10,     3,   193, ETSRG   
 350,   149,     2,     0,     2,    14, PVORT   
 351,   150,     2,     0,   192,     1, COVMZ   
 352,   151,     2,     0,   192,     2, COVTZ   
 353,   152,     2,     0,   192,     3, COVTM   
 354,   202,   129,     0,     0,   197, THFLX   
 355,    33,     3,     0,     2,     2, UGRD    
 356,    34,     3,     0,     2,     3, VGRD    
 357,    40,     3,     0,     2,     9, DZDT    
 358,   124,     3,     0,     2,    17, UFLX    
 359,   125,     3,     0,     2,    18, VFLX    
 360,     8,     3,     0,     3,     6, DIST    
 361,    13,     3,     0,     0,     2, POT     
 362,    88,     3,    10,     4,     3, SALTY   
 363,    49,     3,    10,     1,     2, UOGRD   
 364,    50,     3,    10,     1,     3, VOGRD   
 365,   215,     2,     0,     0,   198, TTDIA   
 366,   217,     2,     0,     0,   199, TTPHY   
 367,   154,   130,     2,     3,   199, LSPA    
 368,   250,     2,     0,     4,   197, SWHR    
 369,   251,     2,     0,     5,   194, LWHR    
 370,   160,     2,     0,     4,   198, CSUSF   
 371,   162,     2,     0,     5,   195, CSULF   
 372,   163,     2,     0,     5,   196, CSDLF   
 373,   164,     2,     0,     4,   199, CFNSF   
 374,   165,     2,     0,     5,   197, CFNLF   
 375,   166,     2,     0,     4,   200, VBDSF   
 376,   167,     2,     0,     4,   201, VDDSF   
 377,   168,     2,     0,     4,   202, NBDSF   
 378,   169,     2,     0,     4,   203, NDDSF   
 379,   206,     2,     0,     7,   196, UVI     
 380,   219,     2,     0,     0,   200, TSD1D   
 381,   220,     2,     0,     3,   206, NLGSP   
 382,   244,     2,     0,     0,   201, SHAHR   
 383,   246,     2,     0,     0,   202, VDFHR   
 384,   243,     2,     0,     1,   213, CNVMR   
 385,   245,     2,     0,     1,   214, SHAMR   
 386,   249,     2,     0,     1,   215, VDFMR   
 387,   247,     2,     0,     2,   208, VDFUA   
 388,   248,     2,     0,     2,   209, VDFVA   
 389,   202,     3,     0,     7,   195, CWDI    
 390,   232,     2,     0,     4,   204, DTRF    
 391,   233,     2,     0,     4,   205, UTRF    
 392,   231,     2,     0,     6,   200, MFLUX   
 393,   202,     2,     0,     7,   195, CWDI    
 394,   203,     2,     0,    19,   232, VAFTD   
 395,   238,     3,     0,     1,   201, SNOWC   
 396,    66,     3,     0,     1,    11, SNOD    
 397,   133,     2,     0,     7,     2, KX      
 398,   134,     2,     0,     7,     5, SX      
 399,   191,   128,    10,     4,   194, BKENG   
 400,   195,   129,    10,     4,   195, DBSS    
 401,   171,   128,    10,     3,   197, AOHFLX  
 402,   180,   128,    10,     3,   198, ASHFL   
 403,   193,   128,    10,     3,   199, SSTT    
 404,   194,   128,    10,     3,   200, SSST    
 405,   190,   128,    10,     3,   201, KENG    
 406,   185,   128,    10,     4,   196, INTFD   
 407,   199,   129,    10,     3,   202, SLTFL   
 408,   197,   129,    10,     4,   197, OHC     
 409,   159,     2,     0,     1,   216, CONP    
 410,   175,     2,     0,   191,   195, MLYNO   
 411,   223,   129,     0,     1,    65, RPRATE  
 412,   224,   129,     0,     1,    66, SPRATE  
 413,   225,   129,     0,     1,    67, FPRATE  
 414,   226,   129,     0,     1,    68, IPRATE  
 415,   227,   129,     0,     7,   197, UPHL    
 416,    87,     3,     2,     0,     4, VEG     
 417,   130,   129,     1,     1,   195, CWR     
 418,   240,     2,     0,   192,     4, COVTW   
 419,   164,   133,     0,   192,     5, COVZZ   
 420,   165,   133,     0,   192,     6, COVMM   
 421,   166,   133,     0,   192,     7, COVQZ   
 422,   167,   133,     0,   192,     8, COVQM   
 423,   168,   133,     0,   192,     9, COVTVV  
 424,   169,   133,     0,   192,    10, COVQVV  
 425,   203,   133,     0,   192,    11, COVPSPS 
 426,   206,   133,     0,   192,    12, COVQQ   
 427,   220,   133,     0,   192,    13, COVVVVV 
 428,   234,   133,     0,   192,    14, COVTT   
 429,   201,   133,     0,     0,   203, THZ0    
 430,   195,   133,     0,     1,   218, QZ0     
 431,   204,   133,     0,     1,   219, QMAX    
 432,   205,   133,     0,     1,   220, QMIN    
 433,   181,   133,     0,     2,   210, GWDU    
 434,   182,   133,     0,     2,   211, GWDV    
 435,   183,   133,     0,     2,   212, CNVU    
 436,   184,   133,     0,     2,   213, CNVV    
 437,   236,   133,     0,     2,   214, WTEND   
 438,   154,   133,     0,     2,   215, OMGALF  
 439,   196,   133,     0,     2,   216, CNGWDU  
 440,   197,   133,     0,     2,   217, CNGWDV  
 441,   202,   133,     0,     3,   207, CNVUMF  
 442,   209,   133,     0,     3,   208, CNVDMF  
 443,   219,   133,     0,     3,   209, CNVDEMF 
 444,   173,   133,     0,     1,   217, LRGMR   
 445,   174,   133,     0,    14,   195, VDFOZ   
 446,   175,   133,     0,    14,   196, POZ     
 447,   188,   133,     0,    14,   197, TOZ     
 448,   139,   133,     0,    14,   198, POZT    
 449,   239,   133,     0,    14,   199, POZO    
 450,   185,   133,     2,     0,   208, AKHS    
 451,   186,   133,     2,     0,   209, AKMS    
 452,   193,   133,     0,    19,   218, EPSR    
 453,   229,   130,     0,     0,   192, SNOHF   
 454,   194,   129,     0,     0,   204, TCHP    
 455,   185,     2,     0,    19,   219, TPFI    
 456,   182,   130,     0,     7,   198, LAI     
 457,   173,     2,     0,     3,   210, LMH     
 458,   174,     2,     0,     2,   218, LMV     
 459,     1,   131,     0,     3,     0, PRES    
 460,     2,   131,     0,     3,     1, PRMSL   
 461,     3,   131,     0,     3,     2, PTEND   
 462,     4,   131,     0,     2,    14, PVORT   
 463,     5,   131,     0,     3,     3, ICAHT   
 464,     6,   131,     0,     3,     4, GP      
 465,     7,   131,     0,     3,     5, HGT     
 466,     8,   131,     0,     3,     6, DIST    
 467,     9,   131,     0,     3,     7, HSTDV   
 468,    10,   131,     0,    14,     0, TOZNE   
 469,    11,   131,     0,     0,     0, TMP     
 470,    12,   131,     0,     0,     1, VTMP    
 471,    13,   131,     0,     0,     2, POT     
 472,    14,   131,     0,     0,     3, EPOT    
 473,    15,   131,     0,     0,     4, TMAX    
 474,    16,   131,     0,     0,     5, TMIN    
 475,    17,   131,     0,     0,     6, DPT     
 476,    18,   131,     0,     0,     7, DEPR    
 477,    19,   131,     0,     0,     8, LAPR    
 478,    20,   131,     0,    19,     0, VIS     
 479,    21,   131,     0,    15,     6, RDSP1   
 480,    22,   131,     0,    15,     7, RDSP2   
 481,    23,   131,     0,    15,     8, RDSP3   
 482,    24,   131,     0,     7,     0, PLI     
 483,    25,   131,     0,     0,     9, TMPA    
 484,    26,   131,     0,     3,     8, PRESA   
 485,    27,   131,     0,     3,     9, GPA     
 486,    28,   131,    10,     0,     0, WVSP1   
 487,    29,   131,    10,     0,     1, WVSP2   
 488,    30,   131,    10,     0,     2, WVSP3   
 489,    31,   131,     0,     2,     0, WDIR    
 490,    32,   131,     0,     2,     1, WIND    
 491,    33,   131,     0,     2,     2, UGRD    
 492,    34,   131,     0,     2,     3, VGRD    
 493,    35,   131,     0,     2,     4, STRM    
 494,    36,   131,     0,     2,     5, VPOT    
 495,    37,   131,     0,     2,     6, MNTSF   
 496,    38,   131,     0,     2,     7, SGCVV   
 497,    39,   131,     0,     2,     8, VVEL    
 498,    40,   131,     0,     2,     9, DZDT    
 499,    41,   131,     0,     2,    10, ABSV    
 500,    42,   131,     0,     2,    11, ABSD    
 501,    43,   131,     0,     2,    12, RELV    
 502,    44,   131,     0,     2,    13, RELD    
 503,    45,   131,     0,     2,    15, VUCSH   
 504,    46,   131,     0,     2,    16, VVCSH   
 505,    47,   131,    10,     1,     0, DIRC    
 506,    48,   131,    10,     1,     1, SPC     
 507,    49,   131,    10,     1,     2, UOGRD   
 508,    50,   131,    10,     1,     3, VOGRD   
 509,    51,   131,     0,     1,     0, SPFH    
 510,    52,   131,     0,     1,     1, RH      
